Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-29,168.364,170.284,164.127,168.591,545193.47032232
2021-04-30,169.096,172.927,167.403,167.512,499067.60604625
2021-05-04,168.571,169.136,161.336,162.514,615128.38327936
2021-05-05,161.633,162.029,150.369,155.378,802619.33749598
2021-05-06,154.417,155.16,148.756,150.587,804259.07635744
2021-05-07,151.042,155.338,150.221,155.338,467640.79333852
2021-05-10,156.823,159.129,150.666,150.716,486878.17328991
2021-05-11,151.013,151.121,145.351,148.409,801692.87998768
2021-05-12,149.369,164.305,146.024,154.893,1001627.8659706
2021-05-13,156.051,157.892,149.835,151.933,628008.87049118
2021-05-14,153.428,160.435,149.221,158.624,639107.16463361
2021-05-17,160.663,171.254,159.228,165.206,963965.39814703
2021-05-18,167.879,169.957,160.901,163.553,972737.95054017
2021-05-19,162.593,163.84,159.703,162.652,601696.2648794
2021-05-20,162.801,169.631,162.781,168.849,708512.67330019
2021-05-21,168.849,169.67,164.959,166.443,685432.06067536
2021-05-24,165.473,165.473,161.722,161.841,481260.83005533
2021-05-25,162.801,167.077,155.952,158.644,667238.33460191
2021-05-26,158.743,161.801,155.476,155.476,407841.34572849
2021-05-27,159.317,168.849,159.228,168.849,1156187.6506312
2021-05-28,170.957,176.025,167.403,171.808,622354.14565593
2021-05-31,173.214,173.214,166.562,167.017,531413.80406755
2021-06-01,154.526,156.387,151.042,151.814,1851964.3115546
2021-06-02,152.428,160.129,151.24,159.931,1260354.0066591
2021-06-04,163.137,169.452,160.168,169.452,521693.57758196
2021-06-07,168.918,171.907,165.414,168.027,459362.28426223
2021-06-08,167.552,170.442,166.285,169.254,422341.36553114
2021-06-09,171.234,176.975,169.056,174.698,888912.23683991
2021-06-10,175.292,176.44,170.818,172.224,287146.26032685
2021-06-11,172.224,184.596,171.056,183.903,681662.58088971
2021-06-14,184.299,185.982,180.795,184.873,410655.06891344
2021-06-15,189.545,202.61,188.951,196.949,1589140.3391826
2021-06-16,204.887,209.489,184.101,184.24,1545301.8247416
2021-06-17,183.111,184.497,176.401,179.152,851896.36967648
2021-06-18,180.142,181.983,177.173,181.983,898496.07099877
2021-06-21,181.983,182.735,177.588,181.508,259462.65925296
2021-06-22,181.112,184.062,175.312,175.965,360127.26858106
2021-06-23,175.292,176.896,171.274,176.183,581041.41504345
2021-06-24,176.183,180.538,174.738,178.202,398365.61511749
2021-06-25,178.163,182.221,177.173,177.885,516487.43195465
2021-06-28,177.786,185.685,176.242,183.606,509302.08211933
2021-06-29,183.111,191.267,183.111,186.437,674695.45877717
2021-06-30,185.467,188.06,180.736,183.131,511490.42122835
2021-07-01,183.21,189.011,183.21,186.833,368892.74877949
2021-07-02,187.744,190.832,186.873,188.258,266913.72154703
2021-07-05,190.654,190.931,187.407,189.941,148444.35685507
2021-07-06,189.941,190.535,185.408,185.408,442260.70711622
2021-07-07,187.744,191.525,184.952,191.426,411724.99094319
2021-07-08,190.04,191.921,184.913,185.566,323081.09201169
2021-07-09,187.209,187.942,185.19,186.081,223108.54745259
2021-07-12,188.258,199.938,188.159,199.789,1043351.7941903
2021-07-13,200.433,204.046,199.245,201.373,421447.23805585
2021-07-14,200.928,201.126,193.504,193.94,332503.27600552
2021-07-15,193.979,195.642,191.149,192.93,404278.98021677
2021-07-16,192.95,195.939,191.525,192.158,282006.79539262
2021-07-19,191.624,192.02,182.755,184.398,513855.56520535
2021-07-20,184.952,186.873,183.25,185.685,403725.32840157
2021-07-21,186.081,192.257,178.558,182.597,420180.30488748
2021-07-22,185.388,189.05,183.349,184.141,256756.02930234
2021-07-23,185.586,187.15,183.963,184.378,221724.41791458
2021-07-26,186.972,186.972,180.479,182.122,342235.6262535
2021-07-27,182.537,182.894,179.37,181.35,320370.42080694
2021-07-28,181.35,182.181,174.995,181.904,676030.08295215
2021-07-29,184.101,187.368,180.993,182.122,545585.4719725
2021-07-30,180.795,182.914,176.816,182.854,310270.31643353
2021-08-02,181.607,181.607,172.818,173.214,837325.62792663
2021-08-03,175.193,175.569,172.323,173.728,415608.63615789
2021-08-04,173.728,176.183,170.897,173.313,246643.80116656
2021-08-05,174.085,177.945,172.956,176.42,293569.83375949
2021-08-06,176.48,176.519,171.729,172.343,183669.94844086
2021-08-09,173.214,173.451,168.918,170.244,232490.31890517
2021-08-10,170.838,171.036,164.464,164.464,532460.48888608
2021-08-11,164.503,166.839,162.405,165.652,228820.86015913
2021-08-12,165.295,166.364,163.058,165.157,177343.36510724
2021-08-13,165.889,171.115,164.781,167.176,199529.85025678
2021-08-16,167.176,168.759,163.316,163.316,282082.56890747
2021-08-17,163.811,169.789,162.821,169.274,400845.93483708
2021-08-18,168.403,168.661,164.8,164.899,217110.31601667
2021-08-19,165.374,166.958,162.9,166.582,194902.61428297
2021-08-20,166.562,166.582,162.702,164.048,416957.40472231
2021-08-23,164.464,166.067,162.524,163.533,193374.00990996
2021-08-24,164.523,165.176,163.335,164.088,180777.42080046
2021-08-25,164.028,164.701,162.464,163.89,232290.27682596
2021-08-26,163.296,169.155,161.534,166.325,464795.7504341
2021-08-27,166.503,166.76,163.811,166.067,207741.67864
2021-08-30,166.166,168.146,162.722,165.909,444854.18195133
2021-08-31,166.067,170.858,165.572,167.592,725437.4455782
2021-09-01,169.254,172.125,167.671,168.621,443144.7314562
2021-09-02,178.163,190.99,177.767,188.041,1635746.1023861
2021-09-03,188.041,190.099,183.111,185.111,430602.6992774
2021-09-06,185.428,187.269,183.131,186.081,301515.94968395
2021-09-07,184.992,185.665,179.944,183.111,429109.45587799
2021-09-08,183.111,183.111,176.48,176.678,470869.75538488
2021-09-09,176.084,178.836,174.797,178.836,329013.65306807
2021-09-10,178.855,181.983,177.351,179.568,310942.17493192
2021-09-13,180.399,186.774,179.647,186.021,494405.00909884
2021-09-14,187.071,187.823,182.359,186.853,431928.2306306
2021-09-15,185.487,189.644,184.735,188.912,354462.4406105
2021-09-16,189.05,194.494,189.05,194.356,604084.64606763
2021-09-17,194.989,197.384,190.317,193.009,1090406.1366017
2021-09-20,190.159,190.297,182.122,182.537,388268.54168468
2021-09-21,182.32,186.081,181.132,182.914,370885.08706341
2021-09-22,184.299,190.713,183.903,188.159,448381.18648945
2021-09-23,189.05,194.494,188.476,191.03,259647.54662921
2021-09-24,190.772,190.832,182.141,182.141,366942.84366389
2021-09-27,183.507,184.24,175.391,179.33,298868.92823169
2021-09-28,178.459,183.111,177.173,181.944,233281.39440026
2021-09-29,182.122,184.992,181.132,182.221,139022.17286123
2021-09-30,184.2,189.842,182.597,189.842,367904.66214578
2021-10-01,188.555,193.405,184.616,187.605,438281.08211604
2021-10-04,186.2,186.2,180.637,182.221,427611.16091092
2021-10-05,182.122,192.02,180.637,192.02,521914.83624533
2021-10-06,190.733,191.802,186.081,191.168,379631.37130474
2021-10-07,188.06,195.286,187.744,192.119,499857.67122781
2021-10-08,191.901,194.692,190.693,192.871,255763.9014145
2021-10-11,192.772,195.88,190.832,193.207,275077.05488075
2021-10-12,193.168,202.709,193.168,201.819,624401.04087055
2021-10-13,200.977,207.262,198.75,206.718,406684.53673504
2021-10-14,206.669,209.836,197.265,197.958,583603.57015908
2021-10-15,198.75,198.948,186.101,186.2,973817.97570524
2021-10-18,186.873,189.545,184.2,187.13,337787.21577474
2021-10-19,187.17,195.504,187.17,195.464,306940.32303404
2021-10-20,194.989,195.563,191.525,191.624,211206.04373917
2021-10-21,181.548,182.577,173.966,179.152,1273412.3090525
2021-10-22,179.152,183.092,179.152,182.399,292485.7673403
2021-10-25,183.606,185.764,182.815,185.289,225088.76197414
